Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0201,2,100nF,
"C2, C3",0201,2,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D8, D9",Diode_SOD-123,77,Diode,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"R1, R2",0201,2,5.1k,
S1,Hotswap_MX_1.00u,1,Esc,
S10,Hotswap_MX_1.00u,1,F9,
S11,Hotswap_MX_1.00u,1,F10,
S12,Hotswap_MX_1.00u,1,F11,
S13,Hotswap_MX_1.00u,1,F12,
S14,Hotswap_MX_1.00u,1,Print,
S15,Hotswap_MX_1.00u,1,Tilde,
S16,Hotswap_MX_1.00u,1,Num_1,
S17,Hotswap_MX_1.00u,1,Num_2,
S18,Hotswap_MX_1.00u,1,Num_3,
S19,Hotswap_MX_1.00u,1,Num_4,
S2,Hotswap_MX_1.00u,1,F1,
S20,Hotswap_MX_1.00u,1,Num_5,
S21,Hotswap_MX_1.00u,1,Num_6,
S22,Hotswap_MX_1.00u,1,Num_7,
S23,Hotswap_MX_1.00u,1,Num_8,
S24,Hotswap_MX_1.00u,1,Num_9,
S25,Hotswap_MX_1.00u,1,Num_0,
S26,Hotswap_MX_1.00u,1,Minus,
S27,Hotswap_MX_1.00u,1,Equals,
S28,Hotswap_MX_2.00u,1,Backspace,
S29,Hotswap_MX_1.50u,1,Tab,
S3,Hotswap_MX_1.00u,1,F2,
S30,Hotswap_MX_1.00u,1,Q,
S31,Hotswap_MX_1.00u,1,W,
S32,Hotswap_MX_1.00u,1,E,
S33,Hotswap_MX_1.00u,1,R,
S34,Hotswap_MX_1.00u,1,T,
S35,Hotswap_MX_1.00u,1,Y,
S36,Hotswap_MX_1.00u,1,U,
S37,Hotswap_MX_1.00u,1,I,
S38,Hotswap_MX_1.00u,1,O,
S39,Hotswap_MX_1.00u,1,P,
S4,Hotswap_MX_1.00u,1,F3,
S40,Hotswap_MX_1.00u,1,LBrace,
S41,Hotswap_MX_1.00u,1,RBrace,
S42,Hotswap_MX_1.50u,1,BSlash,
S43,Hotswap_MX_1.75u,1,Caps,
S44,Hotswap_MX_1.00u,1,A,
S45,Hotswap_MX_1.00u,1,S,
S46,Hotswap_MX_1.00u,1,D,
S47,Hotswap_MX_1.00u,1,F,
S48,Hotswap_MX_1.00u,1,G,
S49,Hotswap_MX_1.00u,1,H,
S5,Hotswap_MX_1.00u,1,F4,
S50,Hotswap_MX_1.00u,1,J,
S51,Hotswap_MX_1.00u,1,K,
S52,Hotswap_MX_1.00u,1,L,
S53,Hotswap_MX_1.00u,1,Semicolon,
S54,Hotswap_MX_1.00u,1,Quote,
S55,Hotswap_MX_2.25u,1,Enter,
S56,Hotswap_MX_2.25u,1,LShift,
S57,Hotswap_MX_1.00u,1,Z,
S58,Hotswap_MX_1.00u,1,X,
S59,Hotswap_MX_1.00u,1,C,
S6,Hotswap_MX_1.00u,1,F5,
S60,Hotswap_MX_1.00u,1,V,
S61,Hotswap_MX_1.00u,1,B,
S62,Hotswap_MX_1.00u,1,N,
S63,Hotswap_MX_1.00u,1,M,
S64,Hotswap_MX_1.00u,1,Comma,
S65,Hotswap_MX_1.00u,1,Period,
S66,Hotswap_MX_1.00u,1,Slash,
S67,Hotswap_MX_2.75u,1,RShift,
S68,Hotswap_MX_1.25u,1,Ctrl,
S69,Hotswap_MX_1.25u,1,Super,
S7,Hotswap_MX_1.00u,1,F6,
S70,Hotswap_MX_1.25u,1,Alt,
S71,Hotswap_MX_1.00u,1,Fn,
S72,Hotswap_MX_6.25u,1,Space,
S73,Hotswap_MX_1.00u,1,Custom_1,
S74,Hotswap_MX_1.00u,1,Custom_2,
S75,Hotswap_MX_1.00u,1,Custom_3,
S76,Hotswap_MX_1.00u,1,Custom_4,
S77,Hotswap_MX_1.00u,1,Del,
S8,Hotswap_MX_1.00u,1,F7,
S9,Hotswap_MX_1.00u,1,F8,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
